Reference;CodeBarre;Designation;Unite;PrixAchatHT;PrixVenteHT;TauxTVA;StockActuel;StockMinimum;Categorie;Actif
1;;losa 25*50 ghorghiz;qte;0,00;0,00;20,00;0,00;0,00;;Oui
2;;losa  50*25 super;qte;0,00;0,00;20,00;0,00;0,00;;Oui
3;;losa 41*41 super;qte;0,00;0,00;20,00;0,00;0,00;;Oui
4;;losa 1,20*60 compacto;qte;0,00;0,00;20,00;0,00;0,00;;Oui
5;;losa 35*35 eco version1;qte;0,00;0,00;20,00;0,00;0,00;;Oui
6;;losa 60*60 multi+cristal;qte;0,00;0,00;20,00;0,00;0,00;;Oui
7;;losa 60*60 spain trab blanc;qte;0,00;0,00;20,00;0,00;0,00;;Oui
8;;spray dri grand aristo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
9;;spray dri moyen aristo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
10;;spray dri petit aristo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
11;;netoyant sanili;qte;0,00;0,00;20,00;0,00;0,00;;Oui
12;;disque 230 ecoplus;qte;0,00;0,00;20,00;0,00;0,00;;Oui
13;;sika 2l;qte;0,00;0,00;20,00;0,00;0,00;;Oui
14;;dolio 5l atlas;qte;0,00;0,00;20,00;0,00;0,00;;Oui
15;;wait sperit 5l atlas;qte;0,00;0,00;20,00;0,00;0,00;;Oui
16;;cola 1 kg 203 atlas;qte;0,00;0,00;20,00;0,00;0,00;;Oui
17;;sbagha eurotex 1kg brouda 2eme;qte;0,00;0,00;20,00;0,00;0,00;;Oui
18;;cola kaghit hayt 4h4;qte;0,00;0,00;20,00;0,00;0,00;;Oui
19;;laki loban 1kg;qte;0,00;0,00;20,00;0,00;0,00;;Oui
20;;laki eurotex 1kg k-10;qte;0,00;0,00;20,00;0,00;0,00;;Oui
21;;losa 60*60 spain trab rouge;qte;0,00;0,00;20,00;0,00;0,00;;Oui
22;;laki andolak atlas 1kg;qte;0,00;0,00;20,00;0,00;0,00;;Oui
23;;laki loggi 1kg;qte;0,00;0,00;20,00;0,00;0,00;;Oui
24;;plastique colorado anfa 1kg;qte;0,00;0,00;20,00;0,00;0,00;;Oui
25;;plastique colomax 1kg;qte;0,00;0,00;20,00;0,00;0,00;;Oui
26;;landwi atlas 1kg;qte;0,00;0,00;20,00;0,00;0,00;;Oui
27;;losa 030*0,90 multi;qte;0,00;0,00;20,00;0,00;0,00;;Oui
28;;losa ghorghiz 60*20 1er;qte;0,00;0,00;20,00;0,00;0,00;;Oui
29;;losa 60*20 super 1er;qte;0,00;0,00;20,00;0,00;0,00;;Oui
30;;losa 60*20 eco facemag;qte;0,00;0,00;20,00;0,00;0,00;;Oui
31;;rolo sbagha petit bravo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
32;;rolo sbagha grand bravo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
33;;disque 180 ecoplus;qte;0,00;0,00;20,00;0,00;0,00;;Oui
34;;lsak spray ferri;qte;0,00;0,00;20,00;0,00;0,00;;Oui
35;;wait sperit petit 3adi;qte;0,00;0,00;20,00;0,00;0,00;;Oui
36;;debouch 3adi;qte;0,00;0,00;20,00;0,00;0,00;;Oui
37;;jopiter grand;qte;0,00;0,00;20,00;0,00;0,00;;Oui
38;;3awed chtaba color;qte;0,00;0,00;20,00;0,00;0,00;;Oui
39;;mae kata3;qte;0,00;0,00;20,00;0,00;0,00;;Oui
40;;slom 3p;qte;0,00;0,00;20,00;0,00;0,00;;Oui
41;;slom 2p;qte;0,00;0,00;20,00;0,00;0,00;;Oui
42;;rolo sbagha akro 18mm;qte;0,00;0,00;20,00;0,00;0,00;;Oui
43;;disque hdid grand tigor zizoir;qte;0,00;0,00;20,00;0,00;0,00;;Oui
44;;cola grife 500gr;qte;0,00;0,00;20,00;0,00;0,00;;Oui
45;;plana zelije yed louh;qte;0,00;0,00;20,00;0,00;0,00;;Oui
46;;plana zelije dingui;qte;0,00;0,00;20,00;0,00;0,00;;Oui
47;;sebat talla 43;qte;0,00;0,00;20,00;0,00;0,00;;Oui
48;;chtaba jire maroc;qte;0,00;0,00;20,00;0,00;0,00;;Oui
49;;brocha panso twil;qte;0,00;0,00;20,00;0,00;0,00;;Oui
50;;menchar louh petit;qte;0,00;0,00;20,00;0,00;0,00;;Oui
51;;menchar louh grand dimgui;qte;0,00;0,00;20,00;0,00;0,00;;Oui
52;;menchar louh moyen dimgui;qte;0,00;0,00;20,00;0,00;0,00;;Oui
53;;ta3mira rolo khayt;qte;0,00;0,00;20,00;0,00;0,00;;Oui
54;;boit brawat;qte;0,00;0,00;20,00;0,00;0,00;;Oui
55;;siphone ps 15*15 code;qte;0,00;0,00;20,00;0,00;0,00;;Oui
56;;code tasa ps;qte;0,00;0,00;20,00;0,00;0,00;;Oui
